roundId,answer,updatedAt,phaseId,aggregatorRoundId,dateTimeAt
18446744073709551798,100183390,1621939189,1,182,2021-05-25 10:39:49
18446744073709551799,100135048,1622025605,1,183,2021-05-26 10:40:05
18446744073709551800,100100972,1622112031,1,184,2021-05-27 10:40:31
18446744073709551801,100100000,1622192680,1,185,2021-05-28 09:04:40
18446744073709551802,100055058,1622279123,1,186,2021-05-29 09:05:23
18446744073709551803,100055025,1622365558,1,187,2021-05-30 09:05:58
18446744073709551804,100057450,1622452011,1,188,2021-05-31 09:06:51
18446744073709551805,100025210,1622538460,1,189,2021-06-01 09:07:40
18446744073709551806,100000289,1622624943,1,190,2021-06-02 09:09:03
18446744073709551807,100020000,1622711368,1,191,2021-06-03 09:09:28
18446744073709551808,100033803,1622797842,1,192,2021-06-04 09:10:42
18446744073709551809,100043832,1622884207,1,193,2021-06-05 09:10:07
18446744073709551810,100070537,1622970643,1,194,2021-06-06 09:10:43
18446744073709551811,100060000,1623057064,1,195,2021-06-07 09:11:04
18446744073709551812,100095761,1623143532,1,196,2021-06-08 09:12:12
18446744073709551813,100100000,1623229901,1,197,2021-06-09 09:11:41
18446744073709551814,100057375,1623316394,1,198,2021-06-10 09:13:14
18446744073709551815,100028435,1623402847,1,199,2021-06-11 09:14:07
18446744073709551816,100052151,1623489310,1,200,2021-06-12 09:15:10
18446744073709551817,100017447,1623575693,1,201,2021-06-13 09:14:53
18446744073709551818,100019714,1623662122,1,202,2021-06-14 09:15:22
18446744073709551819,100031393,1623748546,1,203,2021-06-15 09:15:46
18446744073709551820,100008204,1623834982,1,204,2021-06-16 09:16:22
18446744073709551821,100008756,1623929467,1,205,2021-06-17 11:31:07
18446744073709551822,100032755,1624015955,1,206,2021-06-18 11:32:35
18446744073709551823,100037588,1624102416,1,207,2021-06-19 11:33:36
18446744073709551824,100090548,1624189029,1,208,2021-06-20 11:37:09
18446744073709551825,100012833,1624275378,1,209,2021-06-21 11:36:18
18446744073709551826,100071130,1624361806,1,210,2021-06-22 11:36:46
18446744073709551827,100054024,1624448228,1,211,2021-06-23 11:37:08
18446744073709551828,100003082,1624534655,1,212,2021-06-24 11:37:35
18446744073709551829,99984211,1624621035,1,213,2021-06-25 11:37:15
18446744073709551830,100051546,1624707503,1,214,2021-06-26 11:38:23
18446744073709551831,100179769,1624793954,1,215,2021-06-27 11:39:14
18446744073709551832,100022458,1624880408,1,216,2021-06-28 11:40:08
18446744073709551833,100068645,1624966785,1,217,2021-06-29 11:39:45
18446744073709551834,100029262,1625053218,1,218,2021-06-30 11:40:18
18446744073709551835,100007698,1625139645,1,219,2021-07-01 11:40:45
18446744073709551836,100003691,1625226078,1,220,2021-07-02 11:41:18
18446744073709551837,100010786,1625312473,1,221,2021-07-03 11:41:13
18446744073709551838,100000000,1625398958,1,222,2021-07-04 11:42:38
18446744073709551839,100040516,1625485403,1,223,2021-07-05 11:43:23
18446744073709551840,100046705,1625571832,1,224,2021-07-06 11:43:52
18446744073709551841,100030382,1625658220,1,225,2021-07-07 11:43:40
18446744073709551842,100014223,1625744638,1,226,2021-07-08 11:43:58
18446744073709551843,100000000,1625831069,1,227,2021-07-09 11:44:29
18446744073709551844,100000000,1625917497,1,228,2021-07-10 11:44:57
18446744073709551845,100000000,1626003887,1,229,2021-07-11 11:44:47
18446744073709551846,100000000,1626176701,1,230,2021-07-13 11:45:01
18446744073709551847,100025000,1626349516,1,231,2021-07-15 11:45:16
18446744073709551848,100000000,1626349533,1,232,2021-07-15 11:45:33
18446744073709551849,100005413,1626386307,1,233,2021-07-15 21:58:27
18446744073709551850,100027381,1626472786,1,234,2021-07-16 21:59:46
18446744073709551851,100010557,1626559217,1,235,2021-07-17 22:00:17
18446744073709551852,100050339,1626645982,1,236,2021-07-18 22:06:22
18446744073709551853,100010434,1626732394,1,237,2021-07-19 22:06:34
18446744073709551854,100026270,1626818804,1,238,2021-07-20 22:06:44
18446744073709551855,100003611,1626905226,1,239,2021-07-21 22:07:06
18446744073709551856,100025400,1626991677,1,240,2021-07-22 22:07:57
18446744073709551857,100050594,1627078351,1,241,2021-07-23 22:12:31
18446744073709551858,100073016,1627164780,1,242,2021-07-24 22:13:00
18446744073709551859,100083735,1627251242,1,243,2021-07-25 22:14:02
18446744073709551860,100000000,1627337675,1,244,2021-07-26 22:14:35
18446744073709551861,100076600,1627385308,1,245,2021-07-27 11:28:28
18446744073709551862,100039288,1627471736,1,246,2021-07-28 11:28:56
18446744073709551863,100029477,1627558185,1,247,2021-07-29 11:29:45
18446744073709551864,100044997,1627644630,1,248,2021-07-30 11:30:30
18446744073709551865,100037662,1627731017,1,249,2021-07-31 11:30:17
18446744073709551866,100043587,1627817463,1,250,2021-08-01 11:31:03
18446744073709551867,100021722,1627903973,1,251,2021-08-02 11:32:53
18446744073709551868,100035967,1627990493,1,252,2021-08-03 11:34:53
18446744073709551869,99998194,1628076884,1,253,2021-08-04 11:34:44
18446744073709551870,100005433,1628163351,1,254,2021-08-05 11:35:51
18446744073709551871,100020537,1628249822,1,255,2021-08-06 11:37:02
18446744073709551872,100059017,1628336249,1,256,2021-08-07 11:37:29
18446744073709551873,100000000,1628422643,1,257,2021-08-08 11:37:23
18446744073709551874,100050233,1628509105,1,258,2021-08-09 11:38:25
18446744073709551875,100037071,1628595589,1,259,2021-08-10 11:39:49
18446744073709551876,100031464,1628682023,1,260,2021-08-11 11:40:23
18446744073709551877,100035706,1628768427,1,261,2021-08-12 11:40:27
18446744073709551878,100037091,1628854839,1,262,2021-08-13 11:40:39
18446744073709551879,100078383,1628941298,1,263,2021-08-14 11:41:38
18446744073709551880,100079295,1629027834,1,264,2021-08-15 11:43:54
18446744073709551881,100047037,1629114206,1,265,2021-08-16 11:43:26
18446744073709551882,100016267,1629200749,1,266,2021-08-17 11:45:49
18446744073709551883,100037986,1629287213,1,267,2021-08-18 11:46:53
18446744073709551884,100020500,1629373958,1,268,2021-08-19 11:52:38
18446744073709551885,99999753,1629460142,1,269,2021-08-20 11:49:02
18446744073709551886,100080975,1629546632,1,270,2021-08-21 11:50:32
18446744073709551887,100070312,1629633168,1,271,2021-08-22 11:52:48
18446744073709551888,100066996,1629719637,1,272,2021-08-23 11:53:57
18446744073709551889,100021661,1629756732,1,273,2021-08-23 22:12:12
18446744073709551890,100019000,1629843248,1,274,2021-08-24 22:14:08
18446744073709551891,100032626,1629929706,1,275,2021-08-25 22:15:06
18446744073709551892,100038468,1630016200,1,276,2021-08-26 22:16:40
18446744073709551893,100080564,1630102567,1,277,2021-08-27 22:16:07
18446744073709551894,100080216,1630189247,1,278,2021-08-28 22:20:47
18446744073709551895,100100000,1630275672,1,279,2021-08-29 22:21:12
18446744073709551896,100033478,1630362239,1,280,2021-08-30 22:23:59
18446744073709551897,100036466,1630448642,1,281,2021-08-31 22:24:02
18446744073709551898,100100000,1631053498,1,282,2021-09-07 22:24:58
18446744073709551899,100013812,1631139977,1,283,2021-09-08 22:26:17
18446744073709551900,100016513,1631226402,1,284,2021-09-09 22:26:42
18446744073709551901,100019364,1631312810,1,285,2021-09-10 22:26:50
18446744073709551902,100083596,1632411790,1,286,2021-09-23 15:43:10
18446744073709551903,99991556,1633016678,1,287,2021-09-30 15:44:38
18446744073709551904,100039833,1633621537,1,288,2021-10-07 15:45:37
18446744073709551905,100014423,1633707927,1,289,2021-10-08 15:45:27
18446744073709551906,100000605,1634312791,1,290,2021-10-15 15:46:31
18446744073709551907,100000605,1635692325,1,291,2021-10-31 14:58:45
18446744073709551908,100072374,1635692338,1,292,2021-10-31 14:58:58
18446744073709551909,100072374,1636383713,1,293,2021-11-08 15:01:53
18446744073709551910,100072374,1636988575,1,294,2021-11-15 15:02:55
18446744073709551911,100016874,1637383342,1,295,2021-11-20 04:42:22
18446744073709551912,100070475,1637988309,1,296,2021-11-27 04:45:09
18446744073709551913,100070475,1638679550,1,297,2021-12-05 04:45:50
18446744073709551914,100142463,1638679556,1,298,2021-12-05 04:45:56
36893488147419103518,100121118,1638687292,2,286,2021-12-05 06:54:52
36893488147419103519,100101639,1638773723,2,287,2021-12-06 06:55:23
36893488147419103520,100133519,1638860134,2,288,2021-12-07 06:55:34
36893488147419103521,100099837,1638946546,2,289,2021-12-08 06:55:46
36893488147419103522,100100000,1639032981,2,290,2021-12-09 06:56:21
36893488147419103523,100081503,1639119459,2,291,2021-12-10 06:57:39
36893488147419103524,100100000,1639205884,2,292,2021-12-11 06:58:04
36893488147419103525,100087238,1639292273,2,293,2021-12-12 06:57:53
36893488147419103526,100077102,1639378694,2,294,2021-12-13 06:58:14
36893488147419103527,100074894,1639465113,2,295,2021-12-14 06:58:33
36893488147419103528,100033842,1639551503,2,296,2021-12-15 06:58:23
36893488147419103529,100039269,1639637880,2,297,2021-12-16 06:58:00
36893488147419103530,100029405,1639724267,2,298,2021-12-17 06:57:47
36893488147419103531,100042768,1639810667,2,299,2021-12-18 06:57:47
36893488147419103532,100045185,1639897079,2,300,2021-12-19 06:57:59
36893488147419103533,100037710,1639983490,2,301,2021-12-20 06:58:10
36893488147419103534,100029741,1640069894,2,302,2021-12-21 06:58:14
