roundId,answer,startedAt,updatedAt,answeredInRound,phaseId,aggregatorRoundId
18446744073709551617,100065521,1613537992,1613585352,18446744073709551617,1,1
18446744073709551618,100041369,1613624391,1613624400,18446744073709551618,1,2
18446744073709551619,99975000,1613653758,1613653781,18446744073709551619,1,3
18446744073709551620,99946811,1613703372,1613703399,18446744073709551620,1,4
18446744073709551621,100081345,1613763634,1613763651,18446744073709551621,1,5
18446744073709551622,100119397,1613784341,1613784377,18446744073709551622,1,6
18446744073709551623,100035000,1613784707,1613784739,18446744073709551623,1,7
18446744073709551624,100280424,1613865792,1613865829,18446744073709551624,1,8
18446744073709551625,100006421,1613866334,1613866432,18446744073709551625,1,9
18446744073709551626,100045000,1613870550,1613870612,18446744073709551626,1,10
18446744073709551627,100045000,1613870860,1613870876,18446744073709551627,1,11
18446744073709551628,100139313,1613957299,1613957315,18446744073709551628,1,12
18446744073709551629,99925000,1613989106,1613989123,18446744073709551629,1,13
18446744073709551630,99996457,1613992201,1613992219,18446744073709551630,1,14
18446744073709551631,100263301,1613992788,1613992830,18446744073709551631,1,15
18446744073709551632,99710000,1614058367,1614058542,18446744073709551632,1,16
18446744073709551633,100000000,1614060268,1614066162,18446744073709551633,1,17
18446744073709551634,100107022,1614071009,1614071194,18446744073709551634,1,18
18446744073709551635,100029591,1614071367,1614072461,18446744073709551635,1,19
18446744073709551636,100350893,1614076287,1614076391,18446744073709551636,1,20
18446744073709551637,100200339,1614076667,1614076698,18446744073709551637,1,21
18446744073709551638,100029587,1614076882,1614076913,18446744073709551638,1,22
18446744073709551639,100034860,1614076936,1614078958,18446744073709551639,1,23
18446744073709551640,99940000,1614081156,1614081200,18446744073709551640,1,24
18446744073709551641,100015000,1614081988,1614082034,18446744073709551641,1,25
18446744073709551642,100307286,1614088138,1614088143,18446744073709551642,1,26
18446744073709551643,100002669,1614088214,1614088225,18446744073709551643,1,27
18446744073709551644,100307286,1614088293,1614088306,18446744073709551644,1,28
18446744073709551645,100006281,1614088523,1614088555,18446744073709551645,1,29
18446744073709551646,100017281,1614091404,1614091455,18446744073709551646,1,30
18446744073709551647,99985000,1614092899,1614092901,18446744073709551647,1,31
18446744073709551648,99970826,1614093776,1614093790,18446744073709551648,1,32
18446744073709551649,99960000,1614093886,1614093960,18446744073709551649,1,33
18446744073709551650,100031338,1614097722,1614097755,18446744073709551650,1,34
18446744073709551651,99951932,1614107476,1614107501,18446744073709551651,1,35
18446744073709551652,100015000,1614114856,1614114878,18446744073709551652,1,36
18446744073709551653,100007241,1614128700,1614128712,18446744073709551653,1,37
18446744073709551654,100015000,1614129702,1614129772,18446744073709551654,1,38
18446744073709551655,99990299,1614130194,1614130266,18446744073709551655,1,39
18446744073709551656,100106777,1614211346,1614211458,18446744073709551656,1,40
18446744073709551657,100015000,1614297849,1614298149,18446744073709551657,1,41
18446744073709551658,99995000,1614298190,1614301880,18446744073709551658,1,42
18446744073709551659,99999559,1614309187,1614309207,18446744073709551659,1,43
18446744073709551660,99990000,1614384423,1614384578,18446744073709551660,1,44
18446744073709551661,100010149,1614387949,1614388074,18446744073709551661,1,45
18446744073709551662,99950388,1614410174,1614410612,18446744073709551662,1,46
18446744073709551663,99995000,1614421265,1614421466,18446744073709551663,1,47
18446744073709551664,100100000,1614470602,1614470697,18446744073709551664,1,48
18446744073709551665,100200000,1614504718,1614504798,18446744073709551665,1,49
18446744073709551666,100091158,1614521661,1614521759,18446744073709551666,1,50
18446744073709551667,100188838,1614543126,1614543153,18446744073709551667,1,51
18446744073709551668,100071072,1614629525,1614629571,18446744073709551668,1,52
18446744073709551669,100065000,1614643327,1614643366,18446744073709551669,1,53
18446744073709551670,100042901,1614643592,1614643668,18446744073709551670,1,54
18446744073709551671,100100000,1614730022,1614730186,18446744073709551671,1,55
18446744073709551672,100051846,1614816424,1614816451,18446744073709551672,1,56
18446744073709551673,100000000,1614902575,1614902594,18446744073709551673,1,57
18446744073709551674,100100755,1614913540,1614913588,18446744073709551674,1,58
18446744073709551675,100172496,1614914291,1614914322,18446744073709551675,1,59
18446744073709551676,100052162,1615000703,1615000712,18446744073709551676,1,60
18446744073709551677,100020000,1615087126,1615087131,18446744073709551677,1,61
18446744073709551678,100060000,1615089158,1615089182,18446744073709551678,1,62
18446744073709551679,100023200,1615161704,1615161778,18446744073709551679,1,63
18446744073709551680,100066868,1615185322,1615185341,18446744073709551680,1,64
18446744073709551681,100045000,1615271790,1615271825,18446744073709551681,1,65
18446744073709551682,100015000,1615294838,1615294900,18446744073709551682,1,66
18446744073709551683,100000000,1615381233,1615381281,18446744073709551683,1,67
18446744073709551684,100066276,1615395867,1615395893,18446744073709551684,1,68
18446744073709551685,100000000,1615482261,1615482355,18446744073709551685,1,69
18446744073709551686,100048024,1615489596,1615489819,18446744073709551686,1,70
18446744073709551687,100005845,1615549819,1615549839,18446744073709551687,1,71
18446744073709551688,100018882,1615612287,1615612367,18446744073709551688,1,72
18446744073709551689,99970000,1615698656,1615698711,18446744073709551689,1,73
18446744073709551690,100012306,1615723425,1615723429,18446744073709551690,1,74
18446744073709551691,99977333,1615766949,1615767164,18446744073709551691,1,75
18446744073709551692,100009739,1615800440,1615800487,18446744073709551692,1,76
18446744073709551693,100203910,1615813731,1615813811,18446744073709551693,1,77
18446744073709551694,100122405,1615813777,1615813865,18446744073709551694,1,78
18446744073709551695,100005000,1615852974,1615852992,18446744073709551695,1,79
18446744073709551696,100008977,1615939448,1615939613,18446744073709551696,1,80
18446744073709551697,100021046,1615961470,1615971454,18446744073709551697,1,81
