roundId,answer,updatedAt,phaseId,aggregatorRoundId,dateTimeAt
18446744073709551683,100000205,1615793876,1,67,2021-03-15 07:37:56
18446744073709551684,99995000,1615880258,1,68,2021-03-16 07:37:38
18446744073709551685,99995000,1615883258,1,69,2021-03-16 08:27:38
18446744073709551686,100003756,1615961635,1,70,2021-03-17 06:13:55
18446744073709551687,99995000,1615971454,1,71,2021-03-17 08:57:34
18446744073709551688,100000000,1616113756,1,72,2021-03-19 00:29:16
18446744073709551689,99995000,1616113811,1,73,2021-03-19 00:30:11
18446744073709551690,100020763,1616134564,1,74,2021-03-19 06:16:04
18446744073709551691,100000000,1616134569,1,75,2021-03-19 06:16:09
18446744073709551692,99994502,1616157893,1,76,2021-03-19 12:44:53
18446744073709551693,100000000,1616244296,1,77,2021-03-20 12:44:56
18446744073709551694,100008382,1616259272,1,78,2021-03-20 16:54:32
18446744073709551695,100005000,1616259386,1,79,2021-03-20 16:56:26
18446744073709551696,100000000,1616286576,1,80,2021-03-21 00:29:36
18446744073709551697,100000000,1616372990,1,81,2021-03-22 00:29:50
18446744073709551698,99995000,1616377855,1,82,2021-03-22 01:50:55
18446744073709551699,99970000,1616394612,1,83,2021-03-22 06:30:12
18446744073709551700,99970000,1616394680,1,84,2021-03-22 06:31:20
18446744073709551701,99993861,1616481092,1,85,2021-03-23 06:31:32
18446744073709551702,100020051,1616501680,1,86,2021-03-23 12:14:40
18446744073709551703,100020051,1616501714,1,87,2021-03-23 12:15:14
18446744073709551704,100017444,1616588153,1,88,2021-03-24 12:15:53
18446744073709551705,100000000,1616674614,1,89,2021-03-25 12:16:54
18446744073709551706,100048754,1616730715,1,90,2021-03-26 03:51:55
18446744073709551707,100382847,1616776873,1,91,2021-03-26 16:41:13
18446744073709551708,99991994,1616777174,1,92,2021-03-26 16:46:14
18446744073709551709,99997858,1616780359,1,93,2021-03-26 17:39:19
18446744073709551710,100015167,1616780719,1,94,2021-03-26 17:45:19
18446744073709551711,100046359,1616781293,1,95,2021-03-26 17:54:53
18446744073709551712,100017540,1616803672,1,96,2021-03-27 00:07:52
18446744073709551713,100425182,1616803697,1,97,2021-03-27 00:08:17
18446744073709551714,100019074,1616803933,1,98,2021-03-27 00:12:13
18446744073709551715,99990837,1616804666,1,99,2021-03-27 00:24:26
18446744073709551716,100004598,1616804981,1,100,2021-03-27 00:29:41
18446744073709551717,100007994,1616805159,1,101,2021-03-27 00:32:39
18446744073709551718,99994416,1616805432,1,102,2021-03-27 00:37:12
18446744073709551719,100000000,1616882308,1,103,2021-03-27 21:58:28
18446744073709551720,100000000,1616882541,1,104,2021-03-27 22:02:21
18446744073709551721,100000000,1616969009,1,105,2021-03-28 22:03:29
